epoch,algorithm,Delta_env,Delta_d_ideal,Delta_d_learned,Delta_eff,bias,target_bias,target_band_low,target_band_high,tracking_error,T_X,T_Z,lifetime_score,reward,update_type,gate1_pass,gate2_pass,gate3_pass,cost_units,cumulative_cost_units,burn_in_flag,g2_real,g2_imag,eps_real,eps_imag,Delta_d_bound
47,baseline,0.020198564550454063,-0.020198564550454063,-0.022665732822102033,-0.0024671682716479702,97.57280254283098,100.0,97.0,103.0,0.02457139387363944,0.32323473516121703,32.354120895460774,2.3473649120893305,2.907627553038302,BASELINE_UPDATE,0,0,0,2.0,96.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
48,baseline,0.01811460919407207,-0.01811460919407207,-0.02008222821053573,-0.001967619016463657,97.33737040008063,100.0,97.0,103.0,0.026987196534897288,0.32496363476214024,32.41132989943623,2.354466053973339,2.9124290714981367,BASELINE_UPDATE,0,0,0,2.0,98.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
49,baseline,0.01582040106057872,-0.01582040106057872,-0.018888973255925708,-0.003068572195346987,96.49793252897,100.0,97.0,103.0,0.03564860244291959,0.324949276687053,32.24644911702252,2.3493217517162615,2.882752306017195,BASELINE_UPDATE,0,0,0,2.0,100.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
50,baseline,0.013339820986623039,-0.013339820986623039,-0.016060875864606375,-0.002721054877983336,97.15695933583082,100.0,97.0,103.0,0.028842377775791347,0.32380101559528174,32.39035405228781,2.350234562782904,2.902587296766554,BASELINE_UPDATE,0,0,0,2.0,102.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
51,baseline,0.010698681687872883,-0.010698681687872883,-0.01351230736774537,-0.0028136256798724866,96.79689249065702,100.0,97.0,103.0,0.03255529459009782,0.3228559052166193,32.41353057684006,2.3480267768413112,2.890336877344342,BASELINE_UPDATE,0,0,0,2.0,104.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
52,baseline,0.007924462497705322,-0.007924462497705322,-0.01233542964072748,-0.004410967143022158,95.13952089710412,100.0,97.0,103.0,0.04982573076388243,0.32270058496712684,32.29727863242653,2.3439526066146072,2.8254105294632375,BASELINE_UPDATE,0,0,0,2.0,106.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
53,baseline,0.005046026808596359,-0.005046026808596359,-0.00778814359115891,-0.0027421167825625514,97.10161617799864,100.0,97.0,103.0,0.029412166359724847,0.324228332360904,32.462440039353,2.3537764480268564,2.9058776829458455,BASELINE_UPDATE,0,0,0,2.0,108.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
54,baseline,0.0020933251225592918,-0.0020933251225592918,-0.005423911841473436,-0.0033305867189141443,95.98102014501364,100.0,97.0,103.0,0.041019720889599966,0.32320834871650106,32.248255668105706,2.3440058327243025,2.8583651628161855,BASELINE_UPDATE,0,0,0,2.0,110.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
55,baseline,-0.0009029132322053862,0.0009029132322053862,-0.0022794673440003433,-0.0031823805762057292,96.85409348949617,100.0,97.0,103.0,0.03196453074540855,0.32410332530372066,32.27784489391466,2.3476881695122427,2.8916966690523687,BASELINE_UPDATE,0,0,0,2.0,112.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
56,baseline,-0.0039114965420198235,0.0039114965420198235,0.0005586605541625352,-0.0033528359878572883,96.13204526214555,100.0,97.0,103.0,0.03944746813393511,0.3238825262881095,32.24949575615481,2.346128005531274,2.8672813848916117,BASELINE_UPDATE,0,0,0,2.0,114.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
57,baseline,-0.006901092042916655,0.006901092042916655,0.0015968459713041603,-0.005304246071612494,93.96463428701041,100.0,97.0,103.0,0.062251705499973914,0.3215898675686654,32.070914650868026,2.3334712852595034,2.752613772653416,BASELINE_UPDATE,0,0,0,2.0,116.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
58,baseline,-0.009840548834714108,0.009840548834714108,0.0053845123359250995,-0.004456036498789008,94.88137669306572,100.0,97.0,103.0,0.05254274100977612,0.3230041182581668,32.18268757903156,2.341338449322671,2.8107173581991862,BASELINE_UPDATE,0,0,0,2.0,118.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
59,baseline,-0.012699219039998103,0.012699219039998103,0.009797079574109791,-0.002902139465888312,97.09385440555842,100.0,97.0,103.0,0.02949210408866391,0.32384928815777664,32.392692567725774,2.350455827910454,2.9015234910949426,BASELINE_UPDATE,0,0,0,2.0,120.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
60,baseline,-0.015447273890181737,0.015447273890181737,0.012093348905126398,-0.003353924985055339,96.47451883078115,100.0,97.0,103.0,0.03589126607846714,0.3234547421315495,32.43500324081205,2.350542111078676,2.8840238045715436,BASELINE_UPDATE,0,0,0,2.0,122.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
61,baseline,-0.0180560114713663,0.0180560114713663,0.013747172863840824,-0.004308838607525477,94.88827994249297,100.0,97.0,103.0,0.052469987024205605,0.3229679277314981,32.240789978929016,2.3430301647682774,2.812437207281868,BASELINE_UPDATE,0,0,0,2.0,124.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
62,baseline,-0.020498152947186803,0.020498152947186803,0.01751145106665539,-0.002986701880531413,96.90019884516552,100.0,97.0,103.0,0.03148861502778467,0.3240681982703116,32.38596320919912,2.3509237977904345,2.8969613022836325,BASELINE_UPDATE,0,0,0,2.0,126.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
63,baseline,-0.022748124193338187,0.022748124193338187,0.019700943833605055,-0.003047180359733132,96.53185217814348,100.0,97.0,103.0,0.0352971577208102,0.3229340908863494,32.30604145623677,2.344947225162632,2.8784634648788336,BASELINE_UPDATE,0,0,0,2.0,128.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
64,baseline,-0.02478231992784946,0.02478231992784946,0.021716751065396177,-0.0030655688624532836,96.12543510626924,100.0,97.0,103.0,0.03951623170938867,0.3235520143409098,32.29154432843,2.3464100187094874,2.8673490704439586,BASELINE_UPDATE,0,0,0,2.0,130.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
65,baseline,-0.026579347600874798,0.026579347600874798,0.023922101947264605,-0.002657245653610193,96.91245262083788,100.0,97.0,103.0,0.031362165329109105,0.32424149931904783,32.383660405574446,2.3513873145519626,2.897831993082625,BASELINE_UPDATE,0,0,0,2.0,132.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
66,baseline,-0.02812024851595607,0.02812024851595607,0.02708743836199134,-0.0010328101539647284,98.78405719717523,100.0,97.0,103.0,0.012233958655965311,0.3247055492579395,32.4858110638613,2.3559669017515237,2.938555101234056,BASELINE_UPDATE,0,0,0,2.0,134.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
67,baseline,-0.029388693889235894,0.029388693889235894,0.026286494097418935,-0.003102199791816959,96.37345552547923,100.0,97.0,103.0,0.03693937990897157,0.32504186495395593,32.40972401504541,2.354657211985834,2.885802236296305,BASELINE_UPDATE,0,0,0,2.0,136.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
68,baseline,-0.030371153811543677,0.030371153811543677,0.028187439095000284,-0.002183714716543394,97.88432374359311,100.0,97.0,103.0,0.021383774466158568,0.3243230362337761,32.41277157580313,2.352537295089742,2.9212511018228207,BASELINE_UPDATE,0,0,0,2.0,138.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
69,baseline,-0.031057037357967852,0.031057037357967852,0.029182538147574405,-0.0018744992103934474,97.52040972514841,100.0,97.0,103.0,0.025108499376522177,0.32538258399489084,32.43462986517898,2.356473067548464,2.918976732030828,BASELINE_UPDATE,0,0,0,2.0,140.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
70,baseline,-0.03143880238757104,0.03143880238757104,0.030506663972085755,-0.0009321384154852841,98.89601397889622,100.0,97.0,103.0,0.011101251721723568,0.3244095390161797,32.30356728829384,2.3494291144245025,2.9310049458748244,BASELINE_UPDATE,0,0,0,2.0,142.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
71,baseline,-0.031512033889211394,0.031512033889211394,0.0313605445414785,-0.00015148934773289574,100.37930132568937,100.0,97.0,103.0,0.003785837920484177,0.32580705511735936,32.47594240348509,2.3590496531892615,2.9480527411980195,BASELINE_UPDATE,0,0,0,2.0,144.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
72,baseline,-0.03127549005475482,0.03127549005475482,0.03032050644776171,-0.0009549836069931116,98.96010761753496,100.0,97.0,103.0,0.01045337041925465,0.32522166615157927,32.47614195722024,2.3572574466876164,2.941777037827381,BASELINE_UPDATE,0,0,0,2.0,146.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
73,baseline,-0.030731115594921792,0.030731115594921792,0.03157300151049381,0.0008418859155720181,100.69115631349695,100.0,97.0,103.0,0.0068877877695791645,0.32574198933575826,32.50536040994447,2.359755356698167,2.9475421511097393,BASELINE_UPDATE,0,0,0,2.0,148.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
74,baseline,-0.029884022152140234,0.029884022152140234,0.030804249132816267,0.0009202269806760331,100.94697474343302,100.0,97.0,103.0,0.00942519045081319,0.3251347688569234,32.553124792821336,2.3593578546266145,2.945251791537101,BASELINE_UPDATE,0,0,0,2.0,150.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
75,baseline,-0.028742436005547375,0.028742436005547375,0.03028089317868723,0.0015384571731398566,101.85813928275502,100.0,97.0,103.0,0.01841086790268472,0.3265865289555317,32.34006476951114,2.3572465113095022,2.931398965312784,BASELINE_UPDATE,0,0,0,2.0,152.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
76,baseline,-0.027317613602155382,0.027317613602155382,0.027243814057866397,-7.37995442889848e-05,99.94101460299697,100.0,97.0,103.0,0.0005900280023224115,0.3242169319718026,32.50894112212626,2.355172718838557,2.9428779996400225,BASELINE_UPDATE,0,0,0,2.0,154.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
77,baseline,-0.02562372578164116,0.02562372578164116,0.025276431919833715,-0.00034729386180744684,99.65164595930514,100.0,97.0,103.0,0.0034896220617331164,0.32606525094579736,32.587801471562,2.3632802689893997,2.9534866591454367,BASELINE_UPDATE,0,0,0,2.0,156.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
78,baseline,-0.023677711886770477,0.023677711886770477,0.02406834944296867,0.0003906375561981944,100.35315020388012,100.0,97.0,103.0,0.0035252809277514226,0.32568421018083027,32.64750803022015,2.3639414815633586,2.954287596705271,BASELINE_UPDATE,0,0,0,2.0,158.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
79,baseline,-0.021499105263738695,0.021499105263738695,0.02273225582245538,0.0012331505587166863,101.15166250063746,100.0,97.0,103.0,0.011450813483054871,0.32566096708448145,32.45396241103623,2.3579241268573283,2.9411789132611843,BASELINE_UPDATE,0,0,0,2.0,160.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
80,baseline,-0.019109831953453484,0.019109831953453484,0.020903752338030067,0.0017939203845765833,102.26590017756567,100.0,97.0,103.0,0.02240609980456536,0.32314901517862066,32.40692332116095,2.348730367878061,2.9136405212205934,BASELINE_UPDATE,0,0,0,2.0,162.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
81,baseline,-0.016533984652905953,0.016533984652905953,0.02043567191113215,0.0039016872582261983,104.24366074069094,100.0,97.0,103.0,0.04156086459915051,0.32348653400417793,32.21283672182599,2.3437672372048697,2.856445873768993,BASELINE_UPDATE,0,0,0,2.0,164.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
82,baseline,-0.013797574282376013,0.013797574282376013,0.018993128220531574,0.0051955539381555605,106.04668816792946,100.0,97.0,103.0,0.05870926556683237,0.32260537864331057,32.14322923015849,2.3388763884953576,2.7785549460970476,BASELINE_UPDATE,0,0,0,2.0,166.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
83,baseline,-0.01092826172661978,0.01092826172661978,0.015426277274064147,0.004498015547444367,105.07685585394555,100.0,97.0,103.0,0.049521856930750466,0.3230441239283711,32.18866302397897,2.3416479520550677,2.824020463681421,BASELINE_UPDATE,0,0,0,2.0,168.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
