epoch,algorithm,reward,update_type,bias,cost_units,cumulative_cost_units,optimizer_type
22,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,186.0,BLT-lite hybrid optimizer
23,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,190.0,BLT-lite hybrid optimizer
24,BLT hybrid optimizer,0.7467870267874546,BAYESIAN_UPDATE,100.55845016302561,2.0,194.0,BLT-lite hybrid optimizer
25,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,198.0,BLT-lite hybrid optimizer
26,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,202.0,BLT-lite hybrid optimizer
27,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,206.0,BLT-lite hybrid optimizer
28,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,210.0,BLT-lite hybrid optimizer
29,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,214.0,BLT-lite hybrid optimizer
30,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,218.0,BLT-lite hybrid optimizer
31,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,222.0,BLT-lite hybrid optimizer
32,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,226.0,BLT-lite hybrid optimizer
33,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,230.0,BLT-lite hybrid optimizer
34,BLT hybrid optimizer,0.7467870267874546,BAYESIAN_UPDATE,100.55845016302561,2.0,234.0,BLT-lite hybrid optimizer
35,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,238.0,BLT-lite hybrid optimizer
