epoch,algorithm,drift_signal,ideal_compensation,learned_compensation,residual_drift,bias,target_bias,tracking_error,target_band_low,target_band_high,burn_in,f_drift,f_conv,n_conv,drift_amplitude,seed
60,Bayesian/TUrBO,-0.0019559622584153775,0.0019559622584153775,0.0088923804626024,0.006936418204187021,101.61999850487975,100.0,0.01607016546464009,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
61,Bayesian/TUrBO,0.00039821438119423794,-0.00039821438119423794,0.006690605863751788,0.007088820244946025,101.72983214889267,100.0,0.01715040884955405,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
62,Bayesian/TUrBO,0.0027488564417652707,-0.0027488564417652707,0.0043371831562910405,0.007086039598056312,101.67408011521574,100.0,0.01660221845879395,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
63,Bayesian/TUrBO,0.00507509945795707,-0.00507509945795707,0.0020807195990567924,0.007155819057013863,101.4895979218111,100.0,0.014786123713000227,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
64,Bayesian/TUrBO,0.007356295532074285,-0.007356295532074285,8.919493018123099e-05,0.007445490462255516,101.68309342788164,100.0,0.016690863599899703,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
65,Bayesian/TUrBO,0.0095721966062684,-0.0095721966062684,-0.002212805650080985,0.007359390956187414,101.73830196697895,100.0,0.017233663341742554,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
66,Bayesian/TUrBO,0.0117031341857327,-0.0117031341857327,-0.004570252465889188,0.007132881719843513,101.58837987181599,100.0,0.01575897127499589,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
67,Bayesian/TUrBO,0.013730193917654648,-0.013730193917654648,-0.006699093657023887,0.007031100260630761,101.56693493760902,100.0,0.015547852660582676,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
68,Bayesian/TUrBO,0.015635383476350326,-0.015635383476350326,-0.008816376493270425,0.006819006983079901,101.53728882306237,100.0,0.01525592259425246,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
69,Bayesian/TUrBO,0.0174017922644211,-0.0174017922644211,-0.010892748709763998,0.006509043554657101,101.4241926655645,100.0,0.014141463157181025,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
