algorithm,normalized_frequency,run_id,actual_f_drift,f_conv,n_conv,rms_tracking_error,p_in_band,mean_rms_tracking_error,std_rms_tracking_error,sem_rms_tracking_error,mean_p_in_band,std_p_in_band,n_runs,drift_amplitude,seed,phase,burn_in_epochs
Bayesian/TUrBO,0.1,25,0.016666666666666666,0.16666666666666666,6,0.012729049128725288,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,432017,6.106082947458665,12
Bayesian/TUrBO,0.1,26,0.016666666666666666,0.16666666666666666,6,0.012753216133714301,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,414007,5.550217446826059,12
Bayesian/TUrBO,0.1,27,0.016666666666666666,0.16666666666666666,6,0.012655802210302623,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,290078,5.922372903316271,12
Bayesian/TUrBO,0.1,28,0.016666666666666666,0.16666666666666666,6,0.013265246570733354,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,38388,4.001946440936631,12
Bayesian/TUrBO,0.1,29,0.016666666666666666,0.16666666666666666,6,0.012813370424146993,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,862554,0.16597220904784288,12
Bayesian/TUrBO,0.25,0,0.041666666666666664,0.16666666666666666,6,0.026959929146824727,0.5714285714285714,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,221248,1.488532385492876,12
Bayesian/TUrBO,0.25,1,0.041666666666666664,0.16666666666666666,6,0.02681634885659313,0.5773809523809523,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,614340,4.1277117539022425,12
Bayesian/TUrBO,0.25,2,0.041666666666666664,0.16666666666666666,6,0.026897478347488107,0.5773809523809523,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,902129,2.6736244591425433,12
Bayesian/TUrBO,0.25,3,0.041666666666666664,0.16666666666666666,6,0.026937917040422824,0.5773809523809523,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,937885,1.5103710404462602,12
Bayesian/TUrBO,0.25,4,0.041666666666666664,0.16666666666666666,6,0.026884107940912817,0.5833333333333334,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,284559,4.320494251492329,12
Bayesian/TUrBO,0.25,5,0.041666666666666664,0.16666666666666666,6,0.027009617559003284,0.5833333333333334,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,999392,5.079918424795102,12
Bayesian/TUrBO,0.25,6,0.041666666666666664,0.16666666666666666,6,0.026939994606009036,0.5952380952380952,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,12066,4.71956960203301,12
Bayesian/TUrBO,0.25,7,0.041666666666666664,0.16666666666666666,6,0.02697255137730448,0.5833333333333334,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,526806,4.303386006889153,12
Bayesian/TUrBO,0.25,8,0.041666666666666664,0.16666666666666666,6,0.02690945187723389,0.5773809523809523,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,964493,3.8793889268580624,12
Bayesian/TUrBO,0.25,9,0.041666666666666664,0.16666666666666666,6,0.0268696933711439,0.5833333333333334,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,891638,0.13597778604399338,12
Bayesian/TUrBO,0.25,10,0.041666666666666664,0.16666666666666666,6,0.0270638076951762,0.5833333333333334,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,366855,6.116390623301227,12
Bayesian/TUrBO,0.25,11,0.041666666666666664,0.16666666666666666,6,0.02698824705728644,0.5773809523809523,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,333164,6.085608482932963,12
Bayesian/TUrBO,0.25,12,0.041666666666666664,0.16666666666666666,6,0.02693626186372896,0.5595238095238095,0.026959682942642765,5.264537667604996e-05,9.611686784609634e-06,0.5777777777777776,0.008970663417366588,30,0.025,170996,4.445464214205229,12
