epoch,algorithm,x_value,y_value,bias,target_bias,reward,T_X,T_Z,update_type,gate1_pass,gate2_pass,gate3_pass,cost_units,cumulative_cost_units,trust_region_length
7,BLT Bayesian/TUrBO,7,99.2263078029615,99.2263078029615,100.0,0.5924228531615032,0.25416460114288153,25.219814945620502,BLT_JACOBIAN_UPDATE,1,1,1,28.0,54.0,0.9
8,BLT Bayesian/TUrBO,8,99.2263078029615,99.2263078029615,100.0,0.5924228531615032,0.25416460114288153,25.219814945620502,BLT_JACOBIAN_UPDATE,1,1,1,28.0,82.0,0.9
9,BLT Bayesian/TUrBO,9,99.2263078029615,99.2263078029615,100.0,0.5924228531615032,0.25416460114288153,25.219814945620502,BLT_JACOBIAN_UPDATE,1,1,1,28.0,110.0,0.9
10,BLT Bayesian/TUrBO,10,99.2263078029615,99.2263078029615,100.0,0.5924228531615032,0.25416460114288153,25.219814945620502,BLT_JACOBIAN_UPDATE,1,1,1,28.0,138.0,0.9
11,BLT Bayesian/TUrBO,11,99.2263078029615,99.2263078029615,100.0,0.5924228531615032,0.25416460114288153,25.219814945620502,BLT_REWARD_REGION,1,1,0,4.0,142.0,0.5294117647058824
12,BLT Bayesian/TUrBO,12,99.2263078029615,99.2263078029615,100.0,0.5924228531615032,0.25416460114288153,25.219814945620502,BAYESIAN_UPDATE,0,0,0,2.0,146.0,0.5294117647058824
13,BLT Bayesian/TUrBO,13,99.2263078029615,99.2263078029615,100.0,0.5924228531615032,0.25416460114288153,25.219814945620502,BLT_REWARD_REGION,1,1,0,4.0,150.0,0.5294117647058824
14,BLT Bayesian/TUrBO,14,99.2263078029615,99.2263078029615,100.0,0.5924228531615032,0.25416460114288153,25.219814945620502,BLT_REWARD_REGION,1,1,0,4.0,154.0,0.5294117647058824
15,BLT Bayesian/TUrBO,15,99.2263078029615,99.2263078029615,100.0,0.5924228531615032,0.25416460114288153,25.219814945620502,BLT_REWARD_REGION,1,1,0,4.0,158.0,0.31141868512110726
16,BLT Bayesian/TUrBO,16,99.2263078029615,99.2263078029615,100.0,0.5924228531615032,0.25416460114288153,25.219814945620502,BLT_REWARD_REGION,1,1,0,4.0,162.0,0.31141868512110726
17,BLT Bayesian/TUrBO,17,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,166.0,0.31141868512110726
18,BLT Bayesian/TUrBO,18,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,170.0,0.31141868512110726
19,BLT Bayesian/TUrBO,19,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,174.0,0.31141868512110726
20,BLT Bayesian/TUrBO,20,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,178.0,0.31141868512110726
21,BLT Bayesian/TUrBO,21,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,182.0,0.18318746183594545
22,BLT Bayesian/TUrBO,22,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,186.0,0.18318746183594545
23,BLT Bayesian/TUrBO,23,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,190.0,0.18318746183594545
24,BLT Bayesian/TUrBO,24,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BAYESIAN_UPDATE,0,0,0,2.0,194.0,0.18318746183594545
25,BLT Bayesian/TUrBO,25,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,198.0,0.10775733049173263
26,BLT Bayesian/TUrBO,26,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,202.0,0.10775733049173263
27,BLT Bayesian/TUrBO,27,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,206.0,0.10775733049173263
28,BLT Bayesian/TUrBO,28,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,210.0,0.10775733049173263
29,BLT Bayesian/TUrBO,29,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,214.0,0.06338666499513684
30,BLT Bayesian/TUrBO,30,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,218.0,0.06338666499513684
31,BLT Bayesian/TUrBO,31,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,222.0,0.06338666499513684
32,BLT Bayesian/TUrBO,32,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,226.0,0.06338666499513684
33,BLT Bayesian/TUrBO,33,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,230.0,0.58
34,BLT Bayesian/TUrBO,34,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,234.0,0.58
35,BLT Bayesian/TUrBO,35,99.70757064275621,99.70757064275621,100.0,0.6559781992409397,0.28342138251759247,28.259257519040478,BLT_REWARD_REGION,1,1,0,4.0,238.0,0.58
